2026-05-28 04:37:21,549 | Pipelinebuilder | INFO | Successfully loaded the parameter grid configuration
2026-05-28 04:37:21,549 | Pipelinebuilder | INFO | Setting up the GridSearchCV for the decision tree pipeline
2026-05-28 04:37:21,549 | Pipelinebuilder | INFO | Successfully set up the GridSearchCV for the decision tree pipeline
2026-05-28 04:37:21,549 | Pipelinebuilder | INFO | Successfully created the GridSearchCV for the decision tree pipeline
2026-05-28 04:37:21,549 | PipelineRunner | INFO | Pipeline build has been completed
2026-05-28 04:37:21,549 | PipelineRunner | INFO | Training the model and the pipeline with the data
2026-05-28 04:37:21,551 | Training | INFO | Training the model
2026-05-28 04:37:21,551 | Training | INFO | Fitting the data into the model
2026-05-28 04:37:24,515 | Training | INFO | Getting the best model
2026-05-28 04:37:24,516 | Training | INFO | Testing the best model
2026-05-28 04:37:24,517 | Training | INFO | Testing has been completed
2026-05-28 04:37:24,517 | Training | INFO | Retrieveing the path to save the model
2026-05-28 04:37:24,517 | Training | INFO | Model path exists and proceeding to save the model
2026-05-28 04:37:24,520 | Training | INFO | Model has been successfully saved
2026-05-28 04:37:24,520 | Training | INFO | Calculating the accuracy
2026-05-28 04:37:24,521 | Training | INFO | Accuracy has been saved to the file in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/accuracy.txt
2026-05-28 04:37:24,522 | Training | INFO | Generating the classification report
2026-05-28 04:37:24,527 | Training | INFO | Classification report has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/classification_report.txt
2026-05-28 04:37:24,528 | Training | INFO | Calculating the recall score
2026-05-28 04:37:24,530 | Training | INFO | Recall score has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/recall.txt
2026-05-28 04:37:24,530 | Training | INFO | Calculating the precision score
2026-05-28 04:37:24,532 | Training | INFO | Precision score has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/precision.txt
2026-05-28 04:37:24,532 | Training | INFO | Calculating the F1 score
2026-05-28 04:37:24,534 | Training | INFO | F1 score has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/f1.txt
2026-05-28 04:37:24,534 | Training | INFO | Generating confusion matrix
2026-05-28 04:37:24,749 | Training | INFO | Confusion matrix has been saved in the path E:\PythonCertificates\Network Anaomoly detection\pipeline\artifacts/confusion_matrix.png
2026-05-28 04:37:24,750 | PipelineRunner | INFO | Model training has been completed
2026-05-28 04:37:24,750 | PipelineRunner | INFO | Testing the model
2026-05-28 04:37:24,750 | Testing | INFO | Starting model testing
2026-05-28 04:37:24,753 | Testing | INFO | Test dataset created with 10 samples
2026-05-28 04:37:24,753 | Testing | INFO | Looking for model file at: E:\PythonCertificates\Network Anaomoly detection\pipeline\models/network_anomaly_model.pkl
2026-05-28 04:37:24,763 | Testing | INFO | Model loaded successfully
2026-05-28 04:37:24,764 | Testing | INFO | Predictions generated successfully
